718,1667,42,55
648,1722,52,116
239,1838,42,100
271,1938,52,127
235,2065,51,120
314,2185,42,94
368,2279,52,110
431,2389,42,85
444,2474,52,102
485,2576,52,102
507,2678,42,83
563,2761,52,102
532,2863,42,86
545,2949,52,110
513,3059,42,92
461,3151,52,120
402,3271,52,130
321,3401,42,110
228,3511,52,152
144,3663,42,133
64,3796,52,175
58,3971,42,0
58,27,52,203
58,230,52,209
58,439,41,163
58,602,52,203
59,805,42,166
58,971,52,194
58,1165,42,151
58,1316,52,181
57,1497,52,176
58,1673,41,129
58,1802,52,159
65,1961,42,114
170,2075,52,117
305,2192,42,91
366,2283,51,105
408,2388,52,100
442,2488,42,77
495,2565,52,95
503,2660,42,79
511,2739,52,97
514,2836,52,99
497,2935,42,84
492,3019,52,109
451,3128,42,92
447,3220,52,122
392,3342,42,106
279,3448,52,145
186,3593,52,158
111,3751,42,138
59,3889,52,182
58,4071,42,0
57,136,52,203
57,339,41,165
57,504,52,205
59,709,52,203
59,912,41,157
58,1069,51,190
58,1259,42,150
58,1409,52,179
57,1588,41,167
58,1755,52,129
59,1884,52,154
65,2038,42,100
285,2138,52,116
291,2254,42,88
403,2342,52,100
465,2442,41,98
515,2540,51,78
523,2618,52,95
560,2713,42,77
542,2790,52,100
563,2890,42,82
527,2972,52,106
532,3078,52,111
448,3189,41,96
381,3285,52,128
326,3413,41,111
228,3524,52,150
138,3674,41,134
75,3808,52,177
58,3985,52,0
58,79,41,167
57,246,52,202
57,448,42,167
59,615,52,203
58,818,41,198
58,1016,52,156
58,1172,52,188
59,1360,42,147
58,1507,52,171
57,1678,42,132
58,1810,52,158
64,1968,52,137
174,2105,42,97
261,2202,52,110
336,2312,42,85
409,2397,52,99
437,2496,41,78
514,2574,52,95
492,2669,52,96
554,2765,42,78
550,2843,52,100
519,2943,41,83
510,3026,52,109
464,3135,41,93
422,3228,52,124
399,3352,52,134
262,3486,42,117
171,3603,52,162
102,3765,41,140
60,3905,52,181
58,4086,42,0
56,151,52,205
57,356,52,206
57,562,42,165
58,727,52,201
57,928,42,159
59,1087,52,190
58,1277,41,148
59,1425,52,178
58,1603,52,167
57,1770,42,129
59,1899,52,150
68,2049,41,99
304,2148,52,116
333,2264,42,86
430,2350,52,101
457,2451,52,98
502,2549,41,76
519,2625,52,96
542,2721,42,78
519,2799,52,100
537,2899,42,83
509,2982,52,106
491,3088,52,113
420,3201,42,96
371,3297,52,129
311,3426,42,112
209,3538,52,149
129,3687,41,138
65,3825,52,177
59,4002,52,0
59,99,41,166
58,265,52,202
58,467,42,166
58,633,52,203
58,836,52,199
59,1035,42,154
58,1189,51,186
57,1375,41,144
57,1519,51,172
57,1691,52,162
58,1853,42,127
59,1980,52,134
210,2114,42,96
261,2210,52,109
338,2319,42,84
432,2403,52,98
440,2501,52,96
508,2597,41,76
571,2673,51,0
