---- Torque Test Program ----
718,1667,42
648,1722,52
239,1838,42
271,1938,52
235,2065,51
314,2185,42
368,2279,52
431,2389,42
444,2474,52
485,2576,52
507,2678,42
563,2761,52
532,2863,42
545,2949,52
513,3059,42
461,3151,52
402,3271,52
321,3401,42
228,3511,52
144,3663,42
64,3796,52
58,3971,42
58,27,52
58,230,52
58,439,41
58,602,52
59,805,42
58,971,52
58,1165,42
58,1316,52
57,1497,52
58,1673,41
58,1802,52
65,1961,42
170,2075,52
305,2192,42
366,2283,51
408,2388,52
442,2488,42
495,2565,52
503,2660,42
511,2739,52
514,2836,52
497,2935,42
492,3019,52
451,3128,42
447,3220,52
392,3342,42
279,3448,52
186,3593,52
111,3751,42
59,3889,52
58,4071,42
57,136,52
57,339,41
57,504,52
59,709,52
59,912,41
58,1069,51
58,1259,42
58,1409,52
57,1588,41
58,1755,52
59,1884,52
65,2038,42
285,2138,52
291,2254,42
403,2342,52
465,2442,41
515,2540,51
523,2618,52
560,2713,42
542,2790,52
563,2890,42
527,2972,52
532,3078,52
448,3189,41
381,3285,52
326,3413,41
228,3524,52
138,3674,41
75,3808,52
58,3985,52
58,79,41
57,246,52
57,448,42
59,615,52
58,818,41
58,1016,52
58,1172,52
59,1360,42
58,1507,52
57,1678,42
58,1810,52
64,1968,52
174,2105,42
261,2202,52
336,2312,42
409,2397,52
437,2496,41
514,2574,52
492,2669,52
554,2765,42
550,2843,52
519,2943,41
510,3026,52
464,3135,41
422,3228,52
399,3352,52
262,3486,42
171,3603,52
102,3765,41
60,3905,52
58,4086,42
56,151,52
57,356,52
57,562,42
58,727,52
57,928,42
59,1087,52
58,1277,41
59,1425,52
58,1603,52
57,1770,42
59,1899,52
68,2049,41
304,2148,52
333,2264,42
430,2350,52
457,2451,52
502,2549,41
519,2625,52
542,2721,42
519,2799,52
537,2899,42
509,2982,52
491,3088,52
420,3201,42
371,3297,52
311,3426,42
209,3538,52
129,3687,41
65,3825,52
59,4002,52
59,99,41
58,265,52
58,467,42
58,633,52
58,836,52
59,1035,42
58,1189,51
57,1375,41
57,1519,51
57,1691,52
58,1853,42
59,1980,52
210,2114,42
261,2210,52
338,2319,42
432,2403,52
440,2501,52
508,2597,41
571,2673,51
